id,tipo,ancho_cm,alto_cm,ancho_m,alto_m,unidades,estado,medida_cm,medida_m,descripcion,rack
TPA054,Fijo,21.0,100.0,0.21,1.0,1,Bajo stock,21 x 100 cm,"0,21 x 1,0 m",Termopanel fijo 21 x 100 cm,Rack 1
TPA106,Fijo,25.0,222.9,0.25,2.229,1,Bajo stock,25 x 222.9 cm,"0,25 x 2,229 m",Termopanel fijo 25 x 222.9 cm,Rack 4
TPA107,Fijo,25.0,237.2,0.25,2.372,1,Bajo stock,25 x 237.2 cm,"0,25 x 2,372 m",Termopanel fijo 25 x 237.2 cm,Rack 4
TPA108,Fijo,25.0,239.2,0.25,2.392,1,Bajo stock,25 x 239.2 cm,"0,25 x 2,392 m",Termopanel fijo 25 x 239.2 cm,Rack 4
TPA029,Fijo,98.0,29.2,0.98,0.292,1,Bajo stock,98 x 29.2 cm,"0,98 x 0,292 m",Termopanel fijo 98 x 29.2 cm,Rack 1
TPA005,Fijo,30.0,120.0,0.3,1.2,24,Disponible,30 x 120 cm,"0,3 x 1,2 m",Termopanel fijo 30 x 120 cm,Rack 1
TPA101,Fijo,31.8,140.0,0.318,1.4,1,Bajo stock,31.8 x 140 cm,"0,318 x 1,4 m",Termopanel fijo 31.8 x 140 cm,Rack 3
TPA102,Fijo,31.8,140.5,0.318,1.405,1,Bajo stock,31.8 x 140.5 cm,"0,318 x 1,405 m",Termopanel fijo 31.8 x 140.5 cm,Rack 3
TPA103,Fijo,31.8,141.7,0.318,1.417,1,Bajo stock,31.8 x 141.7 cm,"0,318 x 1,417 m",Termopanel fijo 31.8 x 141.7 cm,Rack 3
TPA010,Fijo,32.0,32.0,0.32,0.32,4,Bajo stock,32 x 32 cm,"0,32 x 0,32 m",Termopanel fijo 32 x 32 cm,Rack 4
TPA097,Fijo,34.2,134.1,0.342,1.341,1,Bajo stock,34.2 x 134.1 cm,"0,342 x 1,341 m",Termopanel fijo 34.2 x 134.1 cm,Rack 3
TPA021,Fijo,36.0,87.2,0.36,0.872,2,Bajo stock,36 x 87.2 cm,"0,36 x 0,872 m",Termopanel fijo 36 x 87.2 cm,Rack 1
TPA085,Fijo,37.0,121.4,0.37,1.214,1,Bajo stock,37 x 121.4 cm,"0,37 x 1,214 m",Termopanel fijo 37 x 121.4 cm,Rack 3
TPA040,Fijo,37.4,82.8,0.374,0.828,1,Bajo stock,37.4 x 82.8 cm,"0,374 x 0,828 m",Termopanel fijo 37.4 x 82.8 cm,Rack 1
TPA051,Fijo,38.0,98.0,0.38,0.98,1,Bajo stock,38 x 98 cm,"0,38 x 0,98 m",Termopanel fijo 38 x 98 cm,Rack 1
TPA032,Fijo,39.0,73.0,0.39,0.73,1,Bajo stock,39 x 73 cm,"0,39 x 0,73 m",Termopanel fijo 39 x 73 cm,Rack 1
TPA004,Fijo,39.0,82.0,0.39,0.82,27,Disponible,39 x 82 cm,"0,39 x 0,82 m",Termopanel fijo 39 x 82 cm,"Rack 1, Rack 5"
TPA080,Fijo,39.0,120.0,0.39,1.2,1,Bajo stock,39 x 120 cm,"0,39 x 1,2 m",Termopanel fijo 39 x 120 cm,Rack 3
